Span length [km],Fiber 1,Fiber 2,Fiber 3,Fiber 4
80.0,14.108389418712456,15.503321961029602,16.56668863057262,17.223462520333946
81.0,14.011780531695592,15.424874266951246,16.4812012589161,17.149001457529465
82.0,13.954002157802782,15.384426931797881,16.434044953656233,17.112671472542786
83.0,13.874659324422122,15.322508845928041,16.365069535628727,17.05487509239274
84.0,13.818561615590031,15.283911853312137,16.32936796913369,17.020319171030174
85.0,13.740350562646515,15.223284303997731,16.261664018944444,16.96373556424654
86.0,13.662587153546896,15.163197745850576,16.195633554901427,16.907686052733137
87.0,13.585282863841798,15.103635467423189,16.13014913909853,16.852183435287188
88.0,13.508441276367567,15.04462524312585,16.065217369812817,16.797224315272977
89.0,13.432045780554146,14.98615232750373,16.00082572108291,16.742824702995357
90.0,13.355990439711828,14.928232482447182,15.936998176908569,16.68898341884298
91.0,13.263560464772345,14.855013522868163,15.857441792502541,16.619943736266308
92.0,13.18836523258795,14.798161189074133,15.794711225493483,16.56745873092107
93.0,13.113651809505988,14.741881986380488,15.732572163025765,16.515552089911463
94.0,13.03942436602427,14.686174966900829,15.67101848186377,16.464141224197167
95.0,12.965906260068508,14.631058623554313,15.610065015747061,16.412951596491375
96.0,12.8669338645261,14.55045540439471,15.523651652578481,16.336238467525998
97.0,12.794269688400295,14.49621708262848,15.463623085937687,16.29724142728856
98.0,12.722103359368225,14.442586257015728,15.404229752526536,16.24736619096638
99.0,12.623083276926824,14.362688805964162,15.318585622489257,16.17259469057631
100.0,12.551005393974776,14.309975515472477,15.2601485847654,16.125069918731445
101.0,12.474889811248984,14.24147432856149,15.185642736769086,16.061997372240363
102.0,12.376289142815473,14.162106408733425,15.10075433614059,15.988082665159176
103.0,12.30707059033456,14.110765069818882,15.04393947984085,15.942277135986094
104.0,12.210201822788047,14.031788255974703,14.959539355855956,15.868900983613113
105.0,12.141918948975842,13.98139713164854,14.903763369597144,15.824195976342114
106.0,12.045455219368307,13.90282237450992,14.81985386249584,15.751376951782046
107.0,11.949102619827714,13.824392434160986,14.736104513508954,15.678750051109258
108.0,11.882104942615017,13.775620494542409,14.681759043529564,15.635549467600676
